Retailer,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Total Sales,Sales Method
West Gear,2021-03-19,South,Oklahoma,Women'S Apparel,25,275,6875,Online
West Gear,2021-09-19,South,Oklahoma,Women'S Street Footwear,15,275,4125,Online
Foot Locker,2021-11-13,Midwest,Kansas,Men'S Athletic Footwear,15,275,4125,Online
Foot Locker,2021-01-18,Midwest,Michigan,Women'S Street Footwear,20,425,8500,In-Store
West Gear,2021-02-11,Midwest,Missouri,Women'S Street Footwear,15,425,6375,In-Store
Foot Locker,2021-01-12,Midwest,Kansas,Women'S Street Footwear,30,275,8250,Online
Sports Direct,2021-01-09,Midwest,South Dakota,Women'S Street Footwear,25,275,6875,Online
Sports Direct,2021-02-09,Midwest,North Dakota,Women'S Apparel,25,275,6875,Online
West Gear,2021-06-11,West,Utah,Women'S Street Footwear,20,425,8500,In-Store
Foot Locker,2021-06-06,Midwest,Iowa,Men'S Athletic Footwear,30,275,8250,In-Store
Amazon,2021-04-10,Midwest,Ohio,Women'S Street Footwear,20,425,8500,Online
Foot Locker,2021-03-16,South,Mississippi,Women'S Street Footwear,15,425,6375,Online
Foot Locker,2021-09-07,Midwest,Iowa,Men'S Athletic Footwear,30,275,8250,In-Store
West Gear,2021-03-09,Midwest,Indiana,Women'S Street Footwear,15,275,4125,In-Store
Walmart,2021-09-16,South,Mississippi,Women'S Street Footwear,20,425,8500,Online
Walmart,2021-02-21,South,Arkansas,Women'S Apparel,20,425,8500,Online
Walmart,2021-10-21,South,Arkansas,Men'S Athletic Footwear,20,425,8500,Online
West Gear,2021-03-09,Midwest,Indiana,Women'S Apparel,25,275,6875,In-Store
West Gear,2021-09-11,Midwest,Indiana,Men'S Athletic Footwear,30,275,8250,In-Store
Walmart,2020-05-03,Northeast,New York,Men'S Street Footwear,48,420,20160,Outlet
West Gear,2021-03-16,Northeast,West Virginia,Men'S Athletic Footwear,30,275,8250,In-Store
Walmart,2020-04-19,Northeast,New York,Men'S Street Footwear,39,408,15912,Outlet
Foot Locker,2021-02-15,Northeast,Maryland,Women'S Street Footwear,30,275,8250,In-Store
Walmart,2020-04-27,Northeast,New York,Men'S Street Footwear,46,403,18538,Outlet
Foot Locker,2021-03-13,Northeast,Delaware,Women'S Street Footwear,30,275,8250,In-Store
West Gear,2021-03-10,West,Utah,Women'S Street Footwear,20,400,8000,In-Store
West Gear,2021-06-11,West,Utah,Women'S Athletic Footwear,20,400,8000,In-Store
Kohl'S,2021-01-10,Northeast,Delaware,Women'S Street Footwear,25,275,6875,In-Store
West Gear,2021-10-11,West,Utah,Men'S Athletic Footwear,20,400,8000,In-Store
Walmart,2020-04-28,Northeast,New York,Men'S Athletic Footwear,53,273,14469,Online
West Gear,2021-01-06,West,California,Men'S Street Footwear,56,273,15288,Online
West Gear,2021-11-11,West,Utah,Men'S Athletic Footwear,20,400,8000,In-Store
West Gear,2021-01-18,West,California,Men'S Street Footwear,62,273,16926,Online
West Gear,2021-02-12,West,California,Men'S Athletic Footwear,58,273,15834,Online
Kohl'S,2021-05-25,West,California,Men'S Street Footwear,39,315,12285,Outlet
Sports Direct,2021-09-24,South,Texas,Women'S Street Footwear,46,273,12558,Online
Foot Locker,2020-08-06,West,Washington,Men'S Street Footwear,44,273,12012,Online
Foot Locker,2021-06-07,Southeast,South Carolina,Men'S Street Footwear,51,273,13923,Online
Walmart,2020-08-11,South,Texas,Women'S Apparel,27,272,7344,Outlet
Walmart,2021-09-16,South,Mississippi,Women'S Athletic Footwear,20,400,8000,Online
Walmart,2020-09-11,South,Texas,Men'S Street Footwear,31,272,8432,Outlet
West Gear,2020-11-13,West,California,Men'S Street Footwear,36,272,9792,Outlet
Foot Locker,2020-01-27,Northeast,New York,Women'S Street Footwear,27,314,8478,Outlet
Sports Direct,2021-02-21,South,Mississippi,Women'S Street Footwear,15,400,6000,Online
Foot Locker,2020-03-04,Northeast,New York,Men'S Street Footwear,47,400,18800,Outlet
Foot Locker,2020-03-18,Northeast,New York,Women'S Street Footwear,37,314,11618,Outlet
Foot Locker,2020-01-25,Northeast,New York,Men'S Street Footwear,40,390,15600,Outlet
Sports Direct,2021-04-23,South,Tennessee,Women'S Street Footwear,39,314,12246,Outlet
Kohl'S,2021-04-26,West,California,Men'S Athletic Footwear,37,272,10064,Outlet
Foot Locker,2020-01-07,Northeast,New York,Men'S Street Footwear,33,388,12804,Outlet
Kohl'S,2021-05-19,West,California,Men'S Street Footwear,40,272,10880,Outlet
Foot Locker,2020-01-01,Northeast,New York,Men'S Street Footwear,34,384,13056,Outlet
Sports Direct,2021-09-21,South,Texas,Women'S Apparel,47,272,12784,Outlet
Sports Direct,2021-04-15,South,Tennessee,Men'S Street Footwear,29,272,7888,Outlet
Foot Locker,2021-02-07,Southeast,Georgia,Men'S Street Footwear,31,376,11656,Outlet
Sports Direct,2021-04-20,South,Tennessee,Women'S Apparel,38,272,10336,Outlet
Foot Locker,2020-01-07,Northeast,New York,Men'S Street Footwear,46,313,14398,Online
Walmart,2021-06-17,Southeast,Florida,Men'S Street Footwear,50,272,13600,Outlet
Sports Direct,2021-08-22,South,Alabama,Women'S Athletic Footwear,20,375,7500,Outlet
Foot Locker,2020-03-04,Northeast,New York,Men'S Street Footwear,55,313,17215,Online
Foot Locker,2021-02-18,Midwest,Michigan,Women'S Street Footwear,20,375,7500,In-Store
Walmart,2020-05-03,Northeast,New York,Men'S Street Footwear,62,312,19344,Online
West Gear,2021-08-11,West,Utah,Women'S Athletic Footwear,20,375,7500,In-Store
Walmart,2021-08-17,Southeast,Florida,Men'S Athletic Footwear,60,272,16320,Outlet
Foot Locker,2021-02-07,Southeast,Georgia,Men'S Street Footwear,38,312,11856,Online
West Gear,2021-11-11,West,Utah,Women'S Athletic Footwear,20,375,7500,In-Store
West Gear,2021-01-12,Southeast,Florida,Men'S Street Footwear,30,272,8160,Outlet
Foot Locker,2021-04-17,South,Mississippi,Women'S Street Footwear,15,375,5625,Online
Foot Locker,2021-07-23,Southeast,Virginia,Men'S Street Footwear,60,272,16320,Outlet
Walmart,2020-04-28,Northeast,New York,Men'S Athletic Footwear,40,312,12480,Outlet
Foot Locker,2021-08-24,Southeast,Virginia,Men'S Street Footwear,67,272,18224,Outlet
Foot Locker,2021-07-05,Southeast,South Carolina,Men'S Street Footwear,63,311,19593,Online
West Gear,2021-12-16,South,Louisiana,Men'S Street Footwear,46,272,12512,Outlet
West Gear,2021-11-20,South,Arkansas,Men'S Athletic Footwear,15,375,5625,Online
West Gear,2020-11-03,South,Texas,Women'S Street Footwear,33,271,8943,Outlet
West Gear,2021-01-23,South,Arkansas,Women'S Street Footwear,15,375,5625,Online
Foot Locker,2020-03-16,Northeast,New York,Men'S Street Footwear,41,375,15375,Outlet
Walmart,2020-08-26,South,Texas,Women'S Street Footwear,29,374,10846,Outlet
West Gear,2020-12-25,West,California,Men'S Street Footwear,40,271,10840,Outlet
Walmart,2020-09-01,South,Texas,Women'S Street Footwear,29,374,10846,Outlet
West Gear,2021-02-14,West,California,Women'S Athletic Footwear,40,271,10840,Outlet
Foot Locker,2020-01-31,Northeast,New York,Men'S Street Footwear,33,372,12276,Outlet
Sports Direct,2021-04-08,South,Tennessee,Women'S Apparel,31,271,8401,Outlet
Sports Direct,2021-04-22,South,Tennessee,Men'S Athletic Footwear,44,271,11924,Outlet
West Gear,2021-07-06,West,Idaho,Men'S Athletic Footwear,40,271,10840,Outlet
Foot Locker,2020-02-06,Northeast,New York,Men'S Street Footwear,44,366,16104,Outlet
Walmart,2020-04-19,Northeast,New York,Men'S Street Footwear,56,360,20160,Online
Foot Locker,2020-03-17,Northeast,New York,Men'S Athletic Footwear,37,359,13283,Outlet
Walmart,2020-04-18,Northeast,New York,Women'S Apparel,48,355,17040,Outlet
Foot Locker,2020-01-25,Northeast,New York,Men'S Street Footwear,46,354,16284,Online
Foot Locker,2020-03-15,Northeast,New York,Women'S Apparel,47,352,16544,Outlet
Foot Locker,2021-03-17,Midwest,Missouri,Women'S Street Footwear,25,350,8750,In-Store
Foot Locker,2021-06-18,Midwest,Missouri,Women'S Athletic Footwear,25,350,8750,In-Store
Foot Locker,2021-10-18,Midwest,Missouri,Men'S Athletic Footwear,25,350,8750,In-Store
Foot Locker,2021-11-18,Midwest,Missouri,Men'S Athletic Footwear,25,350,8750,In-Store
West Gear,2021-05-12,West,Utah,Women'S Street Footwear,25,350,8750,In-Store
West Gear,2021-09-12,West,Utah,Women'S Street Footwear,10,350,3500,In-Store
Amazon,2021-04-10,Midwest,Ohio,Women'S Athletic Footwear,25,350,8750,Online
Walmart,2021-10-18,South,Mississippi,Women'S Athletic Footwear,25,350,8750,Online
Sports Direct,2021-02-21,South,Mississippi,Men'S Athletic Footwear,25,350,8750,Online
Walmart,2021-03-19,South,Arkansas,Women'S Street Footwear,10,350,3500,Online
Walmart,2021-03-19,South,Arkansas,Women'S Apparel,25,350,8750,Online
Walmart,2021-09-19,South,Arkansas,Women'S Street Footwear,15,350,5250,Online
West Gear,2021-02-21,South,Oklahoma,Women'S Apparel,20,350,7000,Online
Walmart,2021-07-19,South,Arkansas,Men'S Street Footwear,39,271,10569,Outlet
West Gear,2021-10-21,South,Oklahoma,Men'S Athletic Footwear,20,350,7000,Online
Kohl'S,2021-01-16,South,Oklahoma,Men'S Athletic Footwear,25,350,8750,Online
Foot Locker,2020-03-05,Northeast,New York,Men'S Athletic Footwear,54,270,14580,Online
Kohl'S,2021-01-16,South,Oklahoma,Women'S Street Footwear,15,350,5250,Online
Walmart,2020-04-17,Northeast,New York,Men'S Apparel,54,270,14580,Online
Walmart,2020-04-20,Northeast,New York,Men'S Athletic Footwear,50,270,13500,Online
Walmart,2020-05-04,Northeast,New York,Men'S Athletic Footwear,43,310,13330,Outlet
Kohl'S,2021-04-19,West,California,Men'S Street Footwear,44,270,11880,Online
Foot Locker,2020-03-17,Northeast,New York,Men'S Athletic Footwear,53,308,16324,Online
Sports Direct,2020-09-29,Southeast,Florida,Men'S Street Footwear,56,270,15120,Online
Sports Direct,2021-08-03,Southeast,North Carolina,Men'S Street Footwear,61,308,18788,Online
Foot Locker,2020-01-05,Northeast,New York,Men'S Apparel,43,306,13158,Outlet
West Gear,2021-07-16,South,Louisiana,Men'S Street Footwear,86,270,23220,Online
Foot Locker,2020-01-23,Northeast,New York,Men'S Apparel,43,306,13158,Outlet
Foot Locker,2021-07-05,Southeast,South Carolina,Men'S Athletic Footwear,58,270,15660,Online
Walmart,2020-04-22,Northeast,New York,Women'S Athletic Footwear,34,306,10404,Outlet
Foot Locker,2020-03-13,Northeast,New York,Women'S Athletic Footwear,35,270,9450,Outlet
Walmart,2020-05-06,Northeast,New York,Women'S Athletic Footwear,41,306,12546,Outlet
Walmart,2020-04-30,Northeast,New York,Women'S Athletic Footwear,41,270,11070,Outlet
Sports Direct,2020-07-31,South,Texas,Men'S Street Footwear,20,306,6120,Outlet
Sports Direct,2020-07-19,Northeast,New York,Men'S Street Footwear,20,270,5400,Outlet
Sports Direct,2020-08-06,South,Texas,Men'S Street Footwear,23,306,7038,Outlet
Sports Direct,2020-07-20,Northeast,New York,Men'S Athletic Footwear,26,270,7020,Outlet
Sports Direct,2020-08-07,South,Texas,Men'S Athletic Footwear,29,306,8874,Outlet
Walmart,2020-09-04,South,Texas,Women'S Apparel,39,270,10530,Outlet
Walmart,2020-10-21,South,Texas,Men'S Athletic Footwear,31,306,9486,Outlet
Walmart,2020-10-20,South,Texas,Men'S Street Footwear,34,270,9180,Outlet
Walmart,2020-10-31,South,Texas,Women'S Apparel,41,306,12546,Outlet
West Gear,2020-12-31,West,California,Men'S Street Footwear,44,270,11880,Outlet
West Gear,2021-01-11,West,California,Women'S Apparel,60,306,18360,Outlet
Walmart,2020-04-21,Northeast,New York,Women'S Street Footwear,47,268,12596,Online
West Gear,2021-02-06,West,California,Men'S Athletic Footwear,46,306,14076,Outlet
Walmart,2020-08-12,South,Texas,Men'S Street Footwear,29,268,7772,Online
Walmart,2020-08-30,South,Texas,Men'S Street Footwear,37,268,9916,Online
Kohl'S,2021-05-01,West,California,Men'S Street Footwear,36,306,11016,Outlet
West Gear,2021-01-25,West,California,Men'S Athletic Footwear,56,268,15008,Online
Sports Direct,2021-04-14,South,Tennessee,Women'S Apparel,37,306,11322,Outlet
Kohl'S,2021-01-16,South,Oklahoma,Women'S Apparel,25,350,8750,Online
Foot Locker,2020-08-18,Southeast,Florida,Men'S Street Footwear,41,268,10988,Online
West Gear,2021-02-17,Northeast,West Virginia,Women'S Apparel,25,350,8750,In-Store
West Gear,2021-07-16,South,Louisiana,Men'S Street Footwear,62,306,18972,Outlet
Sports Direct,2021-09-14,South,Alabama,Women'S Street Footwear,51,268,13668,Online
West Gear,2021-05-08,Northeast,New York,Men'S Street Footwear,50,261,13050,Online
Foot Locker,2020-03-09,Northeast,New York,Women'S Apparel,64,305,19520,Online
Foot Locker,2020-03-11,Northeast,New York,Men'S Athletic Footwear,53,267,14151,Online
Foot Locker,2020-01-03,Northeast,New York,Women'S Street Footwear,32,350,11200,Outlet
Walmart,2020-08-30,South,Texas,Men'S Street Footwear,27,305,8235,Outlet
Foot Locker,2020-01-24,Northeast,New York,Women'S Apparel,36,350,12600,Outlet
Walmart,2020-08-31,South,Texas,Men'S Athletic Footwear,33,305,10065,Outlet
Foot Locker,2021-03-05,Southeast,South Carolina,Men'S Street Footwear,33,265,8745,Online
Foot Locker,2021-08-08,West,Idaho,Women'S Street Footwear,39,305,11895,Outlet
Walmart,2020-08-20,South,Texas,Women'S Street Footwear,27,264,7128,Outlet
Walmart,2020-09-05,South,Texas,Men'S Street Footwear,33,264,8712,Outlet
West Gear,2020-09-17,Southeast,Florida,Men'S Street Footwear,60,304,18240,Online
West Gear,2020-11-01,South,Texas,Men'S Street Footwear,30,264,7920,Outlet
Walmart,2020-08-29,South,Texas,Women'S Apparel,36,302,10872,Outlet
West Gear,2021-01-14,West,California,Women'S Street Footwear,46,264,12144,Outlet
Foot Locker,2020-01-02,Northeast,New York,Men'S Athletic Footwear,47,260,12220,Online
West Gear,2021-01-18,West,California,Men'S Street Footwear,45,302,13590,Outlet
Sports Direct,2021-04-01,South,Tennessee,Men'S Apparel,30,300,9000,Outlet
Foot Locker,2020-01-06,Northeast,New York,Women'S Apparel,46,260,11960,Online
West Gear,2021-01-17,West,California,Women'S Apparel,56,264,14784,Outlet
Foot Locker,2020-01-26,Northeast,New York,Men'S Athletic Footwear,48,259,12432,Online
Sports Direct,2021-09-28,South,Alabama,Men'S Apparel,30,300,9000,Outlet
Foot Locker,2021-05-19,Midwest,Missouri,Women'S Street Footwear,30,300,9000,In-Store
Foot Locker,2020-02-07,Northeast,New York,Men'S Athletic Footwear,50,259,12950,Online
Walmart,2020-04-20,Northeast,New York,Men'S Athletic Footwear,43,350,15050,Outlet
West Gear,2021-01-29,West,California,Women'S Apparel,51,264,13464,Outlet
Foot Locker,2021-09-19,Midwest,Missouri,Women'S Street Footwear,15,300,4500,In-Store
Walmart,2020-04-24,Northeast,New York,Women'S Apparel,45,350,15750,Outlet
West Gear,2021-02-11,West,Utah,Women'S Athletic Footwear,20,300,6000,In-Store
Kohl'S,2021-03-19,West,California,Men'S Street Footwear,24,264,6336,Outlet
Walmart,2020-08-23,South,Texas,Women'S Apparel,38,350,13300,Outlet
Kohl'S,2021-04-24,West,California,Women'S Apparel,48,264,12672,Outlet
Foot Locker,2021-01-09,Southeast,Georgia,Men'S Street Footwear,26,349,9074,Outlet
Walmart,2020-08-13,South,Texas,Men'S Athletic Footwear,38,259,9842,Online
Kohl'S,2021-05-02,West,California,Men'S Athletic Footwear,41,264,10824,Outlet
Foot Locker,2020-03-09,Northeast,New York,Women'S Apparel,46,347,15962,Outlet
Kohl'S,2021-05-08,West,California,Men'S Athletic Footwear,39,264,10296,Outlet
West Gear,2021-11-11,West,Utah,Women'S Street Footwear,20,345,6900,In-Store
West Gear,2021-01-06,West,California,Men'S Street Footwear,41,341,13981,Outlet
Kohl'S,2021-05-14,West,California,Men'S Athletic Footwear,43,264,11352,Outlet
Foot Locker,2020-03-05,Northeast,New York,Men'S Athletic Footwear,41,340,13940,Outlet
Kohl'S,2021-05-20,West,California,Men'S Athletic Footwear,42,264,11088,Outlet
Walmart,2020-07-18,Northeast,New York,Women'S Apparel,48,340,16320,Outlet
Sports Direct,2021-09-09,South,Texas,Women'S Apparel,34,264,8976,Outlet
Walmart,2020-08-31,South,Texas,Men'S Athletic Footwear,41,259,10619,Online
West Gear,2021-01-12,West,California,Men'S Street Footwear,41,338,13858,Outlet
Sports Direct,2021-09-17,South,Texas,Men'S Athletic Footwear,34,264,8976,Outlet
West Gear,2021-01-19,West,California,Men'S Athletic Footwear,66,259,17094,Online
Foot Locker,2020-01-01,Northeast,New York,Men'S Street Footwear,47,336,15792,Online
Sports Direct,2021-04-16,South,Tennessee,Men'S Athletic Footwear,30,264,7920,Outlet
Foot Locker,2020-02-05,Northeast,New York,Women'S Apparel,39,333,12987,Outlet
West Gear,2020-09-10,Southeast,Florida,Women'S Apparel,63,259,16317,Online
Walmart,2020-04-29,Northeast,New York,Women'S Street Footwear,52,258,13416,Online
Sports Direct,2021-05-16,South,Tennessee,Men'S Athletic Footwear,37,264,9768,Outlet
Walmart,2020-05-05,Northeast,New York,Women'S Street Footwear,42,333,13986,Outlet
Sports Direct,2021-09-07,South,Alabama,Men'S Athletic Footwear,37,264,9768,Outlet
Walmart,2020-10-26,South,Texas,Men'S Street Footwear,32,333,10656,Outlet
West Gear,2021-07-06,West,Idaho,Men'S Street Footwear,35,264,9240,Outlet
Walmart,2020-10-27,South,Texas,Men'S Athletic Footwear,34,333,11322,Outlet
Foot Locker,2021-07-06,West,Idaho,Women'S Apparel,51,264,13464,Outlet
West Gear,2021-02-12,West,California,Men'S Athletic Footwear,46,332,15272,Outlet
Foot Locker,2021-01-09,Southeast,Georgia,Women'S Street Footwear,24,264,6336,Outlet
Sports Direct,2021-09-24,South,Texas,Women'S Street Footwear,35,332,11620,Outlet
Walmart,2020-05-02,Northeast,New York,Women'S Apparel,66,263,17358,Online
West Gear,2021-10-11,West,Utah,Women'S Street Footwear,20,300,6000,In-Store
Foot Locker,2020-01-06,Northeast,New York,Women'S Apparel,38,330,12540,Outlet
Amazon,2021-01-22,Midwest,Ohio,Women'S Street Footwear,30,300,9000,Online
Foot Locker,2021-04-17,South,Mississippi,Women'S Athletic Footwear,20,300,6000,Online
West Gear,2021-02-05,West,California,Men'S Street Footwear,52,263,13676,Online
Sports Direct,2021-01-23,South,Mississippi,Women'S Athletic Footwear,20,300,6000,Online
Walmart,2020-04-26,Northeast,New York,Women'S Apparel,50,330,16500,Outlet
Sports Direct,2021-09-15,South,Texas,Women'S Apparel,53,263,13939,Online
Foot Locker,2021-08-06,Southeast,South Carolina,Men'S Street Footwear,62,326,20212,Online
Sports Direct,2021-04-17,South,Tennessee,Women'S Street Footwear,36,263,9468,Online
Foot Locker,2021-08-18,Midwest,Missouri,Women'S Athletic Footwear,25,325,8125,In-Store
West Gear,2021-06-10,Northeast,New York,Men'S Street Footwear,59,263,15517,Online
Foot Locker,2021-11-18,Midwest,Missouri,Women'S Athletic Footwear,25,325,8125,In-Store
Sports Direct,2021-08-16,Midwest,Michigan,Men'S Street Footwear,55,263,14465,Online
Walmart,2021-04-20,South,Arkansas,Men'S Athletic Footwear,25,300,7500,Online
West Gear,2021-01-11,Midwest,Missouri,Women'S Athletic Footwear,20,325,6500,In-Store
Walmart,2021-04-20,South,Arkansas,Women'S Street Footwear,15,300,4500,Online
Walmart,2021-10-21,South,Arkansas,Women'S Street Footwear,20,300,6000,Online
Kohl'S,2021-11-20,South,Oklahoma,Men'S Athletic Footwear,15,300,4500,Online
Sports Direct,2021-02-04,Southeast,South Carolina,Men'S Street Footwear,34,263,8942,Online
Kohl'S,2021-02-14,South,Oklahoma,Women'S Street Footwear,15,300,4500,Online
West Gear,2021-04-11,West,Utah,Men'S Athletic Footwear,25,325,8125,In-Store
Sports Direct,2021-04-03,Southeast,North Carolina,Men'S Street Footwear,27,263,7101,Online
West Gear,2021-04-11,West,Utah,Women'S Street Footwear,15,325,4875,In-Store
Sports Direct,2021-07-02,Southeast,North Carolina,Women'S Apparel,64,263,16832,Online
Kohl'S,2021-04-13,Midwest,Kansas,Women'S Apparel,30,300,9000,Online
West Gear,2021-09-12,West,Utah,Women'S Athletic Footwear,10,325,3250,In-Store
Foot Locker,2020-03-18,Northeast,New York,Women'S Street Footwear,45,257,11565,Online
Sports Direct,2020-08-01,South,Texas,Men'S Athletic Footwear,30,263,7890,Outlet
West Gear,2021-09-12,West,Utah,Men'S Apparel,20,325,6500,In-Store
Walmart,2020-08-21,South,Texas,Women'S Athletic Footwear,26,263,6838,Outlet
Amazon,2021-03-09,Midwest,Ohio,Women'S Athletic Footwear,25,325,8125,Online
Foot Locker,2021-10-14,Midwest,Kansas,Women'S Apparel,30,300,9000,Online
West Gear,2021-01-13,West,California,Men'S Athletic Footwear,49,263,12887,Outlet
Foot Locker,2021-02-18,South,Mississippi,Women'S Athletic Footwear,25,325,8125,Online
West Gear,2021-06-03,Midwest,Wisconsin,Men'S Athletic Footwear,30,300,9000,In-Store
West Gear,2021-01-10,Midwest,Wisconsin,Women'S Street Footwear,25,300,7500,In-Store
West Gear,2021-02-10,Midwest,Indiana,Women'S Apparel,20,300,6000,In-Store
West Gear,2021-01-17,Midwest,Indiana,Women'S Street Footwear,25,300,7500,In-Store
Walmart,2021-03-19,South,Arkansas,Men'S Athletic Footwear,20,325,6500,Online
Walmart,2021-09-19,South,Arkansas,Women'S Athletic Footwear,15,325,4875,Online
West Gear,2021-02-17,Midwest,Indiana,Women'S Street Footwear,30,300,9000,In-Store
Walmart,2021-09-19,South,Arkansas,Men'S Apparel,25,325,8125,Online
West Gear,2021-02-21,South,Arkansas,Women'S Street Footwear,15,325,4875,Online
Kohl'S,2021-02-14,Midwest,Kansas,Women'S Apparel,20,325,6500,Online
Sports Direct,2021-01-07,Northeast,New Jersey,Women'S Street Footwear,30,300,9000,In-Store
Foot Locker,2020-01-31,Northeast,New York,Men'S Street Footwear,45,300,13500,Online
Walmart,2020-05-04,Northeast,New York,Men'S Athletic Footwear,51,300,15300,Online
Foot Locker,2020-04-24,Southeast,Florida,Men'S Street Footwear,42,256,10752,Online
Kohl'S,2021-10-14,Midwest,Kansas,Men'S Athletic Footwear,20,325,6500,Online
West Gear,2020-04-24,Southeast,Florida,Men'S Street Footwear,52,300,15600,Online
West Gear,2021-03-16,Northeast,West Virginia,Women'S Street Footwear,20,325,6500,In-Store
Walmart,2020-04-27,Northeast,New York,Men'S Street Footwear,60,299,17940,Online
Foot Locker,2021-01-09,Southeast,Georgia,Men'S Street Footwear,39,256,9984,Online
Foot Locker,2020-03-16,Northeast,New York,Men'S Street Footwear,58,325,18850,Online
West Gear,2020-09-11,Southeast,Florida,Men'S Street Footwear,60,299,17940,Online
West Gear,2021-01-07,West,California,Men'S Athletic Footwear,50,256,12800,Outlet
Foot Locker,2020-03-31,Northeast,New York,Women'S Athletic Footwear,40,324,12960,Outlet
West Gear,2021-02-10,West,California,Women'S Apparel,56,256,14336,Outlet
Sports Direct,2020-05-24,Southeast,Florida,Men'S Street Footwear,63,323,20349,Online
Foot Locker,2020-01-21,Northeast,New York,Women'S Street Footwear,32,323,10336,Outlet
Walmart,2020-09-10,South,Texas,Women'S Apparel,42,298,12516,Outlet
West Gear,2021-02-13,West,California,Women'S Street Footwear,44,256,11264,Outlet
Walmart,2020-10-28,South,Texas,Women'S Street Footwear,38,298,11324,Outlet
West Gear,2021-02-16,West,California,Women'S Apparel,50,256,12800,Outlet
West Gear,2021-07-23,West,Oregon,Men'S Street Footwear,60,298,17880,Outlet
Foot Locker,2020-01-30,Northeast,New York,Women'S Apparel,36,323,11628,Outlet
Kohl'S,2021-05-13,West,California,Men'S Street Footwear,36,256,9216,Outlet
Walmart,2020-09-01,South,Texas,Women'S Street Footwear,39,297,11583,Online
Walmart,2020-08-19,South,Texas,Men'S Athletic Footwear,33,323,10659,Outlet
Sports Direct,2021-09-10,South,Texas,Men'S Street Footwear,30,256,7680,Outlet
Walmart,2020-05-02,Northeast,New York,Women'S Apparel,53,322,17066,Outlet
Sports Direct,2021-09-16,South,Texas,Men'S Street Footwear,34,256,8704,Outlet
West Gear,2021-02-11,West,California,Men'S Street Footwear,40,322,12880,Outlet
West Gear,2021-01-22,West,California,Men'S Apparel,59,263,15517,Outlet
Sports Direct,2021-09-23,South,Texas,Men'S Athletic Footwear,43,256,11008,Outlet
Sports Direct,2021-09-18,South,Texas,Women'S Street Footwear,33,322,10626,Outlet
West Gear,2021-02-05,West,California,Men'S Street Footwear,39,263,10257,Outlet
Sports Direct,2021-08-30,South,Alabama,Women'S Apparel,36,263,9468,Outlet
