Retailer,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Total Sales,Sales Method
Foot Locker,04-02-2020,Northeast,New York,Men'S Apparel,60,83,4980,Outlet
Foot Locker,05-02-2020,Northeast,New York,Women'S Apparel,50,95,4750,Outlet
Foot Locker,06-02-2020,Northeast,New York,Men'S Street Footwear,60,122,7320,Outlet
Foot Locker,07-02-2020,Northeast,New York,Men'S Athletic Footwear,55,93,5115,Outlet
Foot Locker,08-02-2020,Northeast,New York,Women'S Street Footwear,50,90,4500,Outlet
Foot Locker,09-02-2020,Northeast,New York,Women'S Athletic Footwear,50,85,4250,Outlet
Foot Locker,10-02-2020,Northeast,New York,Men'S Apparel,60,88,5280,Outlet
Foot Locker,03-03-2020,Northeast,New York,Women'S Apparel,65,100,6500,Outlet
Foot Locker,04-03-2020,Northeast,New York,Men'S Street Footwear,60,125,7500,Outlet
Foot Locker,05-03-2020,Northeast,New York,Men'S Athletic Footwear,55,100,5500,Outlet
Foot Locker,06-03-2020,Northeast,New York,Women'S Street Footwear,50,93,4650,Outlet
Foot Locker,07-03-2020,Northeast,New York,Women'S Athletic Footwear,50,90,4500,Outlet
Foot Locker,08-03-2020,Northeast,New York,Men'S Apparel,60,90,5400,Outlet
Foot Locker,09-03-2020,Northeast,New York,Women'S Apparel,65,105,6825,Outlet
Foot Locker,10-03-2020,Northeast,New York,Men'S Street Footwear,60,128,7680,Outlet
Foot Locker,11-03-2020,Northeast,New York,Men'S Athletic Footwear,55,103,5665,Outlet
Foot Locker,12-03-2020,Northeast,New York,Women'S Street Footwear,50,95,4750,Outlet
Foot Locker,13-03-2020,Northeast,New York,Women'S Athletic Footwear,50,90,4500,Outlet
Foot Locker,14-03-2020,Northeast,New York,Men'S Apparel,60,93,5580,Outlet
Foot Locker,15-03-2020,Northeast,New York,Women'S Apparel,65,110,7150,Outlet
Foot Locker,16-03-2020,Northeast,New York,Men'S Street Footwear,60,125,7500,Outlet
Foot Locker,17-03-2020,Northeast,New York,Men'S Athletic Footwear,55,103,5665,Outlet
Foot Locker,18-03-2020,Northeast,New York,Women'S Street Footwear,50,95,4750,Outlet
Foot Locker,31-03-2020,Northeast,New York,Women'S Athletic Footwear,50,93,4650,Outlet
Walmart,17-04-2020,Northeast,New York,Men'S Apparel,60,90,5400,Outlet
Walmart,18-04-2020,Northeast,New York,Women'S Apparel,65,108,7020,Outlet
Walmart,19-04-2020,Northeast,New York,Men'S Street Footwear,60,120,7200,Outlet
Walmart,20-04-2020,Northeast,New York,Men'S Athletic Footwear,55,100,5500,Outlet
Walmart,21-04-2020,Northeast,New York,Women'S Street Footwear,50,93,4650,Outlet
Walmart,22-04-2020,Northeast,New York,Women'S Athletic Footwear,50,90,4500,Outlet
Walmart,23-04-2020,Northeast,New York,Men'S Apparel,60,90,5400,Outlet
Walmart,24-04-2020,Northeast,New York,Women'S Apparel,65,100,6500,Outlet
Walmart,25-04-2020,Northeast,New York,Men'S Apparel,65,88,5720,Outlet
Walmart,26-04-2020,Northeast,New York,Women'S Apparel,70,100,7000,Outlet
Walmart,27-04-2020,Northeast,New York,Men'S Street Footwear,65,115,7475,Outlet
Walmart,28-04-2020,Northeast,New York,Men'S Athletic Footwear,55,98,5390,Outlet
Walmart,29-04-2020,Northeast,New York,Women'S Street Footwear,55,92,5060,Outlet
Walmart,30-04-2020,Northeast,New York,Women'S Athletic Footwear,55,90,4950,Outlet
Walmart,01-05-2020,Northeast,New York,Men'S Apparel,65,88,5720,Outlet
Walmart,02-05-2020,Northeast,New York,Women'S Apparel,70,98,6860,Outlet
Walmart,03-05-2020,Northeast,New York,Men'S Street Footwear,65,120,7800,Outlet
Walmart,04-05-2020,Northeast,New York,Men'S Athletic Footwear,55,100,5500,Outlet
Walmart,05-05-2020,Northeast,New York,Women'S Street Footwear,55,95,5225,Outlet
Walmart,06-05-2020,Northeast,New York,Women'S Athletic Footwear,55,90,4950,Outlet
Walmart,07-05-2020,Northeast,New York,Men'S Apparel,65,90,5850,Outlet
Walmart,18-07-2020,Northeast,New York,Women'S Apparel,70,100,7000,Outlet
Sports Direct,19-07-2020,Northeast,New York,Men'S Street Footwear,25,90,2250,Outlet
Sports Direct,20-07-2020,Northeast,New York,Men'S Athletic Footwear,35,90,3150,Outlet
Sports Direct,21-07-2020,Northeast,New York,Women'S Street Footwear,35,70,2450,Outlet
Sports Direct,22-07-2020,Northeast,New York,Women'S Athletic Footwear,35,70,2450,Outlet
Sports Direct,23-07-2020,South,Texas,Men'S Apparel,40,55,2200,Outlet
Sports Direct,24-07-2020,South,Texas,Women'S Apparel,35,70,2450,Outlet
Sports Direct,25-07-2020,South,Texas,Men'S Street Footwear,25,85,2125,Outlet
Sports Direct,26-07-2020,South,Texas,Men'S Athletic Footwear,35,85,2975,Outlet
Sports Direct,27-07-2020,South,Texas,Women'S Street Footwear,35,68,2380,Outlet
Sports Direct,28-07-2020,South,Texas,Women'S Athletic Footwear,35,63,2205,Outlet
Sports Direct,29-07-2020,South,Texas,Men'S Apparel,40,50,2000,Outlet
Sports Direct,30-07-2020,South,Texas,Women'S Apparel,35,70,2450,Outlet
Sports Direct,31-07-2020,South,Texas,Men'S Street Footwear,30,88,2640,Outlet
Sports Direct,01-08-2020,South,Texas,Men'S Athletic Footwear,40,88,3520,Outlet
Sports Direct,02-08-2020,South,Texas,Women'S Street Footwear,35,70,2450,Outlet
Sports Direct,03-08-2020,South,Texas,Women'S Athletic Footwear,40,60,2400,Outlet
Sports Direct,04-08-2020,South,Texas,Men'S Apparel,45,50,2250,Outlet
Sports Direct,05-08-2020,South,Texas,Women'S Apparel,40,65,2600,Outlet
Sports Direct,06-08-2020,South,Texas,Men'S Street Footwear,30,90,2700,Outlet
Sports Direct,07-08-2020,South,Texas,Men'S Athletic Footwear,40,90,3600,Outlet
Sports Direct,08-08-2020,South,Texas,Women'S Street Footwear,35,73,2555,Outlet
Sports Direct,09-08-2020,South,Texas,Women'S Athletic Footwear,40,63,2520,Outlet
Walmart,10-08-2020,South,Texas,Men'S Apparel,45,53,2385,Outlet
Walmart,11-08-2020,South,Texas,Women'S Apparel,40,80,3200,Outlet
Walmart,12-08-2020,South,Texas,Men'S Street Footwear,30,93,2790,Outlet
Walmart,13-08-2020,South,Texas,Men'S Athletic Footwear,40,93,3720,Outlet
Walmart,14-08-2020,South,Texas,Women'S Street Footwear,35,78,2730,Outlet
Walmart,15-08-2020,South,Texas,Women'S Athletic Footwear,40,70,2800,Outlet
Walmart,16-08-2020,South,Texas,Men'S Apparel,45,60,2700,Outlet
Walmart,17-08-2020,South,Texas,Women'S Apparel,40,95,3800,Outlet
Walmart,18-08-2020,South,Texas,Men'S Street Footwear,40,95,3800,Outlet
Walmart,19-08-2020,South,Texas,Men'S Athletic Footwear,45,95,4275,Outlet
Walmart,20-08-2020,South,Texas,Women'S Street Footwear,40,80,3200,Outlet
Walmart,21-08-2020,South,Texas,Women'S Athletic Footwear,40,75,3000,Outlet
Walmart,22-08-2020,South,Texas,Men'S Apparel,45,65,2925,Outlet
Walmart,23-08-2020,South,Texas,Women'S Apparel,50,100,5000,Outlet
Walmart,24-08-2020,South,Texas,Men'S Street Footwear,40,95,3800,Outlet
Walmart,25-08-2020,South,Texas,Men'S Athletic Footwear,45,95,4275,Outlet
Walmart,26-08-2020,South,Texas,Women'S Street Footwear,40,110,4400,Outlet
Walmart,27-08-2020,South,Texas,Women'S Athletic Footwear,40,70,2800,Outlet
Walmart,28-08-2020,South,Texas,Men'S Apparel,45,70,3150,Outlet
Walmart,29-08-2020,South,Texas,Women'S Apparel,50,98,4900,Outlet
Walmart,30-08-2020,South,Texas,Men'S Street Footwear,40,93,3720,Outlet
Walmart,31-08-2020,South,Texas,Men'S Athletic Footwear,45,93,4185,Outlet
Walmart,01-09-2020,South,Texas,Women'S Street Footwear,40,110,4400,Outlet
Walmart,02-09-2020,South,Texas,Women'S Athletic Footwear,40,65,2600,Outlet
Walmart,03-09-2020,South,Texas,Men'S Apparel,45,65,2925,Outlet
Walmart,04-09-2020,South,Texas,Women'S Apparel,50,90,4500,Outlet
Walmart,05-09-2020,South,Texas,Men'S Street Footwear,45,85,3825,Outlet
Walmart,06-09-2020,South,Texas,Men'S Athletic Footwear,45,85,3825,Outlet
Walmart,07-09-2020,South,Texas,Women'S Street Footwear,50,90,4500,Outlet
Walmart,08-09-2020,South,Texas,Women'S Athletic Footwear,50,63,3150,Outlet
Walmart,09-09-2020,South,Texas,Men'S Apparel,45,63,2835,Outlet
Walmart,10-09-2020,South,Texas,Women'S Apparel,55,85,4675,Outlet
Walmart,11-09-2020,South,Texas,Men'S Street Footwear,45,80,3600,Outlet
Walmart,12-09-2020,South,Texas,Men'S Athletic Footwear,45,80,3600,Outlet
Walmart,13-09-2020,South,Texas,Women'S Street Footwear,50,75,3750,Outlet
Walmart,14-09-2020,South,Texas,Women'S Athletic Footwear,50,60,3000,Outlet
Walmart,15-09-2020,South,Texas,Men'S Apparel,45,58,2610,Outlet
Walmart,16-09-2020,South,Texas,Women'S Apparel,55,75,4125,Outlet
Walmart,20-10-2020,South,Texas,Men'S Street Footwear,45,90,4050,Outlet
Walmart,21-10-2020,South,Texas,Men'S Athletic Footwear,45,90,4050,Outlet
Walmart,22-10-2020,South,Texas,Women'S Street Footwear,50,83,4150,Outlet
Walmart,23-10-2020,South,Texas,Women'S Athletic Footwear,50,68,3400,Outlet
Walmart,24-10-2020,South,Texas,Men'S Apparel,45,65,2925,Outlet
Walmart,25-10-2020,South,Texas,Women'S Apparel,55,85,4675,Outlet
Walmart,26-10-2020,South,Texas,Men'S Street Footwear,45,95,4275,Outlet
Walmart,27-10-2020,South,Texas,Men'S Athletic Footwear,45,95,4275,Outlet
Walmart,28-10-2020,South,Texas,Women'S Street Footwear,50,85,4250,Outlet
Walmart,29-10-2020,South,Texas,Women'S Athletic Footwear,50,70,3500,Outlet
Walmart,30-10-2020,South,Texas,Men'S Apparel,45,65,2925,Outlet
Walmart,31-10-2020,South,Texas,Women'S Apparel,55,90,4950,Outlet
West Gear,01-11-2020,South,Texas,Men'S Street Footwear,40,78,3120,Outlet
West Gear,02-11-2020,South,Texas,Men'S Athletic Footwear,50,78,3900,Outlet
West Gear,03-11-2020,South,Texas,Women'S Street Footwear,50,78,3900,Outlet
West Gear,04-11-2020,South,Texas,Women'S Athletic Footwear,50,63,3150,Outlet
West Gear,05-11-2020,West,California,Men'S Apparel,55,58,3190,Outlet
West Gear,06-11-2020,West,California,Women'S Apparel,50,78,3900,Outlet
West Gear,07-11-2020,West,California,Men'S Street Footwear,40,83,3320,Outlet
West Gear,08-11-2020,West,California,Men'S Athletic Footwear,50,73,3650,Outlet
West Gear,09-11-2020,West,California,Women'S Street Footwear,50,73,3650,Outlet
West Gear,10-11-2020,West,California,Women'S Athletic Footwear,50,58,2900,Outlet
West Gear,11-11-2020,West,California,Men'S Apparel,55,50,2750,Outlet
West Gear,12-11-2020,West,California,Women'S Apparel,50,70,3500,Outlet
West Gear,13-11-2020,West,California,Men'S Street Footwear,50,85,4250,Outlet
West Gear,14-11-2020,West,California,Men'S Athletic Footwear,60,70,4200,Outlet
West Gear,15-11-2020,West,California,Women'S Street Footwear,60,70,4200,Outlet
West Gear,22-12-2020,West,California,Women'S Athletic Footwear,60,60,3600,Outlet
West Gear,23-12-2020,West,California,Men'S Apparel,65,50,3250,Outlet
West Gear,24-12-2020,West,California,Women'S Apparel,60,70,4200,Outlet
West Gear,25-12-2020,West,California,Men'S Street Footwear,60,88,5280,Outlet
West Gear,26-12-2020,West,California,Men'S Athletic Footwear,65,68,4420,Outlet
West Gear,27-12-2020,West,California,Women'S Street Footwear,65,73,4745,Outlet
West Gear,28-12-2020,West,California,Women'S Athletic Footwear,60,63,3780,Outlet
West Gear,29-12-2020,West,California,Men'S Apparel,65,53,3445,Outlet
West Gear,30-12-2020,West,California,Women'S Apparel,80,70,5600,Outlet
West Gear,31-12-2020,West,California,Men'S Street Footwear,60,90,5400,Outlet
West Gear,01-01-2021,West,California,Men'S Athletic Footwear,65,75,4875,Outlet
West Gear,02-01-2021,West,California,Women'S Street Footwear,65,75,4875,Outlet
West Gear,03-01-2021,West,California,Women'S Athletic Footwear,60,65,3900,Outlet
West Gear,04-01-2021,West,California,Men'S Apparel,65,55,3575,Outlet
West Gear,05-01-2021,West,California,Women'S Apparel,80,73,5840,Outlet
West Gear,06-01-2021,West,California,Men'S Street Footwear,60,98,5880,Outlet
West Gear,07-01-2021,West,California,Men'S Athletic Footwear,65,83,5395,Outlet
West Gear,08-01-2021,West,California,Women'S Street Footwear,65,83,5395,Outlet
West Gear,09-01-2021,West,California,Women'S Athletic Footwear,60,70,4200,Outlet
West Gear,10-01-2021,West,California,Men'S Apparel,65,58,3770,Outlet
West Gear,11-01-2021,West,California,Women'S Apparel,80,88,7040,Outlet
West Gear,12-01-2021,West,California,Men'S Street Footwear,60,103,6180,Outlet
West Gear,13-01-2021,West,California,Men'S Athletic Footwear,65,88,5720,Outlet
West Gear,14-01-2021,West,California,Women'S Street Footwear,65,83,5395,Outlet
West Gear,15-01-2021,West,California,Women'S Athletic Footwear,60,73,4380,Outlet
West Gear,16-01-2021,West,California,Men'S Apparel,65,78,5070,Outlet
West Gear,17-01-2021,West,California,Women'S Apparel,80,78,6240,Outlet
West Gear,18-01-2021,West,California,Men'S Street Footwear,65,98,6370,Outlet
West Gear,19-01-2021,West,California,Men'S Athletic Footwear,70,93,6510,Outlet
West Gear,20-01-2021,West,California,Women'S Street Footwear,65,80,5200,Outlet
West Gear,21-01-2021,West,California,Women'S Athletic Footwear,65,75,4875,Outlet
West Gear,22-01-2021,West,California,Men'S Apparel,75,75,5625,Outlet
West Gear,23-01-2021,West,California,Women'S Apparel,80,73,5840,Outlet
West Gear,24-01-2021,West,California,Men'S Street Footwear,55,93,5115,Outlet
West Gear,25-01-2021,West,California,Men'S Athletic Footwear,60,93,5580,Outlet
West Gear,26-01-2021,West,California,Women'S Street Footwear,55,78,4290,Outlet
West Gear,27-01-2021,West,California,Women'S Athletic Footwear,55,73,4015,Outlet
West Gear,28-01-2021,West,California,Men'S Apparel,65,73,4745,Outlet
West Gear,29-01-2021,West,California,Women'S Apparel,70,78,5460,Outlet
West Gear,30-01-2021,West,California,Men'S Street Footwear,55,88,4840,Outlet
West Gear,31-01-2021,West,California,Men'S Athletic Footwear,60,88,5280,Outlet
West Gear,01-02-2021,West,California,Women'S Street Footwear,55,70,3850,Outlet
West Gear,02-02-2021,West,California,Women'S Athletic Footwear,55,68,3740,Outlet
West Gear,03-02-2021,West,California,Men'S Apparel,65,65,4225,Outlet
West Gear,04-02-2021,West,California,Women'S Apparel,70,70,4900,Outlet
West Gear,05-02-2021,West,California,Men'S Street Footwear,55,88,4840,Outlet
West Gear,06-02-2021,West,California,Men'S Athletic Footwear,60,88,5280,Outlet
West Gear,07-02-2021,West,California,Women'S Street Footwear,55,73,4015,Outlet
West Gear,08-02-2021,West,California,Women'S Athletic Footwear,55,70,3850,Outlet
West Gear,09-02-2021,West,California,Men'S Apparel,65,65,4225,Outlet
West Gear,10-02-2021,West,California,Women'S Apparel,70,78,5460,Outlet
West Gear,11-02-2021,West,California,Men'S Street Footwear,55,98,5390,Outlet
West Gear,12-02-2021,West,California,Men'S Athletic Footwear,60,98,5880,Outlet
West Gear,13-02-2021,West,California,Women'S Street Footwear,55,78,4290,Outlet
West Gear,14-02-2021,West,California,Women'S Athletic Footwear,55,78,4290,Outlet
West Gear,15-02-2021,West,California,Men'S Apparel,65,70,4550,Outlet
West Gear,16-02-2021,West,California,Women'S Apparel,70,80,5600,Outlet
Kohl'S,17-02-2021,West,California,Men'S Street Footwear,35,70,2450,Outlet
Kohl'S,18-02-2021,West,California,Men'S Athletic Footwear,45,70,3150,Outlet
Kohl'S,09-03-2021,West,California,Women'S Street Footwear,45,70,3150,Outlet
Kohl'S,10-03-2021,West,California,Women'S Athletic Footwear,45,55,2475,Outlet
Kohl'S,11-03-2021,West,California,Men'S Apparel,50,50,2500,Outlet
Kohl'S,12-03-2021,West,California,Women'S Apparel,45,70,3150,Outlet
Kohl'S,13-03-2021,West,California,Men'S Street Footwear,35,75,2625,Outlet
Kohl'S,14-03-2021,West,California,Men'S Athletic Footwear,45,65,2925,Outlet
Kohl'S,15-03-2021,West,California,Women'S Street Footwear,45,68,3060,Outlet
Kohl'S,16-03-2021,West,California,Women'S Athletic Footwear,45,53,2385,Outlet
Kohl'S,17-03-2021,West,California,Men'S Apparel,50,45,2250,Outlet
Kohl'S,18-03-2021,West,California,Women'S Apparel,45,65,2925,Outlet
Kohl'S,19-03-2021,West,California,Men'S Street Footwear,35,80,2800,Outlet
Kohl'S,20-03-2021,West,California,Men'S Athletic Footwear,45,65,2925,Outlet
Kohl'S,21-03-2021,West,California,Women'S Street Footwear,45,65,2925,Outlet
Kohl'S,22-03-2021,West,California,Women'S Athletic Footwear,45,55,2475,Outlet
Kohl'S,23-03-2021,West,California,Men'S Apparel,50,43,2150,Outlet
Kohl'S,06-04-2021,West,California,Women'S Apparel,45,63,2835,Outlet
Kohl'S,07-04-2021,West,California,Men'S Street Footwear,45,80,3600,Outlet
Kohl'S,08-04-2021,West,California,Men'S Athletic Footwear,50,60,3000,Outlet
Kohl'S,09-04-2021,West,California,Women'S Street Footwear,50,63,3150,Outlet
Kohl'S,10-04-2021,West,California,Women'S Athletic Footwear,45,53,2385,Outlet
Kohl'S,11-04-2021,West,California,Men'S Apparel,50,43,2150,Outlet
Kohl'S,12-04-2021,West,California,Women'S Apparel,65,60,3900,Outlet
Kohl'S,13-04-2021,West,California,Men'S Street Footwear,45,80,3600,Outlet
Kohl'S,14-04-2021,West,California,Men'S Athletic Footwear,50,65,3250,Outlet
Kohl'S,15-04-2021,West,California,Women'S Street Footwear,50,65,3250,Outlet
Kohl'S,16-04-2021,West,California,Women'S Athletic Footwear,45,55,2475,Outlet
Kohl'S,17-04-2021,West,California,Men'S Apparel,50,45,2250,Outlet
Kohl'S,18-04-2021,West,California,Women'S Apparel,65,63,4095,Outlet
Kohl'S,19-04-2021,West,California,Men'S Street Footwear,45,90,4050,Outlet
Kohl'S,20-04-2021,West,California,Men'S Athletic Footwear,50,75,3750,Outlet
Kohl'S,21-04-2021,West,California,Women'S Street Footwear,50,75,3750,Outlet
Kohl'S,22-04-2021,West,California,Women'S Athletic Footwear,45,63,2835,Outlet
Kohl'S,23-04-2021,West,California,Men'S Apparel,50,50,2500,Outlet
Kohl'S,24-04-2021,West,California,Women'S Apparel,65,80,5200,Outlet
Kohl'S,25-04-2021,West,California,Men'S Street Footwear,45,95,4275,Outlet
Kohl'S,26-04-2021,West,California,Men'S Athletic Footwear,50,80,4000,Outlet
Kohl'S,27-04-2021,West,California,Women'S Street Footwear,50,75,3750,Outlet
Kohl'S,28-04-2021,West,California,Women'S Athletic Footwear,45,65,2925,Outlet
Kohl'S,29-04-2021,West,California,Men'S Apparel,50,70,3500,Outlet
Kohl'S,30-04-2021,West,California,Women'S Apparel,65,70,4550,Outlet
Kohl'S,01-05-2021,West,California,Men'S Street Footwear,50,90,4500,Outlet
Kohl'S,02-05-2021,West,California,Men'S Athletic Footwear,55,85,4675,Outlet
Kohl'S,03-05-2021,West,California,Women'S Street Footwear,50,73,3650,Outlet
Kohl'S,04-05-2021,West,California,Women'S Athletic Footwear,50,68,3400,Outlet
Kohl'S,05-05-2021,West,California,Men'S Apparel,60,68,4080,Outlet
Kohl'S,06-05-2021,West,California,Women'S Apparel,65,65,4225,Outlet
Kohl'S,07-05-2021,West,California,Men'S Street Footwear,50,85,4250,Outlet
Kohl'S,08-05-2021,West,California,Men'S Athletic Footwear,55,85,4675,Outlet
Kohl'S,09-05-2021,West,California,Women'S Street Footwear,50,70,3500,Outlet
Kohl'S,10-05-2021,West,California,Women'S Athletic Footwear,50,65,3250,Outlet
Kohl'S,11-05-2021,West,California,Men'S Apparel,60,65,3900,Outlet
Kohl'S,12-05-2021,West,California,Women'S Apparel,65,70,4550,Outlet
Kohl'S,13-05-2021,West,California,Men'S Street Footwear,50,80,4000,Outlet
Kohl'S,14-05-2021,West,California,Men'S Athletic Footwear,55,80,4400,Outlet
Kohl'S,15-05-2021,West,California,Women'S Street Footwear,50,65,3250,Outlet
Kohl'S,16-05-2021,West,California,Women'S Athletic Footwear,50,63,3150,Outlet
Kohl'S,17-05-2021,West,California,Men'S Apparel,60,60,3600,Outlet
Kohl'S,18-05-2021,West,California,Women'S Apparel,65,65,4225,Outlet
Kohl'S,19-05-2021,West,California,Men'S Street Footwear,50,83,4150,Outlet
Kohl'S,20-05-2021,West,California,Men'S Athletic Footwear,55,83,4565,Outlet
Kohl'S,21-05-2021,West,California,Women'S Street Footwear,50,68,3400,Outlet
Kohl'S,22-05-2021,West,California,Women'S Athletic Footwear,50,65,3250,Outlet
Kohl'S,23-05-2021,West,California,Men'S Apparel,60,60,3600,Outlet
Kohl'S,24-05-2021,West,California,Women'S Apparel,65,70,4550,Outlet
Kohl'S,25-05-2021,West,California,Men'S Street Footwear,50,90,4500,Outlet
Kohl'S,26-05-2021,West,California,Men'S Athletic Footwear,55,90,4950,Outlet
Kohl'S,27-05-2021,West,California,Women'S Street Footwear,50,70,3500,Outlet
Kohl'S,28-05-2021,West,California,Women'S Athletic Footwear,50,70,3500,Outlet
Kohl'S,29-05-2021,West,California,Men'S Apparel,60,63,3780,Outlet
Kohl'S,30-05-2021,West,California,Women'S Apparel,65,73,4745,Outlet
Foot Locker,31-05-2021,West,California,Men'S Street Footwear,45,48,2160,Outlet
Foot Locker,01-06-2021,West,California,Men'S Athletic Footwear,45,28,1260,Outlet
Foot Locker,02-06-2021,West,California,Women'S Street Footwear,35,28,980,Outlet
Foot Locker,03-06-2021,West,California,Women'S Athletic Footwear,40,13,520,Outlet
Foot Locker,04-06-2021,Midwest,Illinois,Men'S Apparel,55,18,990,Outlet
Foot Locker,05-06-2021,Midwest,Illinois,Women'S Apparel,45,28,1260,Outlet
Foot Locker,06-06-2021,Midwest,Illinois,Men'S Street Footwear,45,53,2385,Outlet
Foot Locker,07-06-2021,Midwest,Illinois,Men'S Athletic Footwear,45,18,810,Outlet
Foot Locker,08-06-2021,Midwest,Illinois,Women'S Street Footwear,35,23,805,Outlet
Foot Locker,09-06-2021,Midwest,Illinois,Women'S Athletic Footwear,40,10,400,Outlet
Foot Locker,10-06-2021,Midwest,Illinois,Men'S Apparel,55,18,990,Outlet
Foot Locker,11-06-2021,Midwest,Illinois,Women'S Apparel,45,28,1260,Outlet
Foot Locker,12-06-2021,Midwest,Illinois,Men'S Street Footwear,50,50,2500,Outlet
Foot Locker,13-06-2021,Midwest,Illinois,Men'S Athletic Footwear,50,20,1000,Outlet
Foot Locker,14-06-2021,Midwest,Illinois,Women'S Street Footwear,40,23,920,Outlet
Foot Locker,15-06-2021,Midwest,Illinois,Women'S Athletic Footwear,45,8,360,Outlet
Foot Locker,16-06-2021,Midwest,Illinois,Men'S Apparel,60,13,780,Outlet
Foot Locker,17-06-2021,Midwest,Illinois,Women'S Apparel,50,23,1150,Outlet
Foot Locker,18-06-2021,Midwest,Illinois,Men'S Street Footwear,50,45,2250,Outlet
Foot Locker,19-06-2021,Midwest,Illinois,Men'S Athletic Footwear,50,15,750,Outlet
Foot Locker,20-06-2021,Midwest,Illinois,Women'S Street Footwear,40,15,600,Outlet
Foot Locker,21-06-2021,Midwest,Illinois,Women'S Athletic Footwear,45,8,360,Outlet
Foot Locker,22-06-2021,Midwest,Illinois,Men'S Apparel,60,10,600,Outlet
Foot Locker,23-06-2021,Midwest,Illinois,Women'S Apparel,50,23,1150,Outlet
Foot Locker,24-06-2021,Midwest,Illinois,Men'S Street Footwear,60,50,3000,Outlet
Foot Locker,25-06-2021,Midwest,Illinois,Men'S Athletic Footwear,55,20,1100,Outlet
Foot Locker,26-06-2021,Midwest,Illinois,Women'S Street Footwear,50,18,900,Outlet
Foot Locker,27-06-2021,Midwest,Illinois,Women'S Athletic Footwear,50,10,500,Outlet
Foot Locker,28-06-2021,Midwest,Illinois,Men'S Apparel,60,13,780,Outlet
Foot Locker,29-06-2021,Midwest,Illinois,Women'S Apparel,65,25,1625,Outlet
Foot Locker,30-06-2021,Midwest,Illinois,Men'S Street Footwear,50,50,2500,Outlet
Foot Locker,01-07-2021,Midwest,Illinois,Men'S Athletic Footwear,45,25,1125,Outlet
Foot Locker,02-07-2021,Midwest,Illinois,Women'S Street Footwear,40,20,800,Outlet
Foot Locker,03-07-2021,Midwest,Illinois,Women'S Athletic Footwear,40,18,720,Outlet
Foot Locker,04-07-2021,Midwest,Illinois,Men'S Apparel,50,18,900,Outlet
Foot Locker,05-07-2021,Midwest,Illinois,Women'S Apparel,55,35,1925,Outlet
Foot Locker,06-07-2021,Midwest,Illinois,Men'S Street Footwear,50,58,2900,Outlet
Foot Locker,07-07-2021,Midwest,Illinois,Men'S Athletic Footwear,45,33,1485,Outlet
Foot Locker,08-07-2021,Midwest,Illinois,Women'S Street Footwear,40,25,1000,Outlet
Foot Locker,09-07-2021,Midwest,Illinois,Women'S Athletic Footwear,40,20,800,Outlet
Foot Locker,10-07-2021,Midwest,Illinois,Men'S Apparel,50,23,1150,Outlet
Foot Locker,11-07-2021,Midwest,Illinois,Women'S Apparel,55,40,2200,Outlet
Foot Locker,12-07-2021,Midwest,Illinois,Men'S Street Footwear,50,55,2750,Outlet
Foot Locker,13-07-2021,Midwest,Illinois,Men'S Athletic Footwear,45,33,1485,Outlet
Foot Locker,14-07-2021,Midwest,Illinois,Women'S Street Footwear,40,25,1000,Outlet
Foot Locker,15-07-2021,Midwest,Illinois,Women'S Athletic Footwear,40,23,920,Outlet
